Character,Game,Relation,Role
Donkey Kong,Mario Party 4,CHARACTER_IN,Playable character
Donkey Kong,Donkey Kong Country,CHARACTER_IN,Playable character
Donkey Kong,"WarioWare, Inc.: Mega Microgames!",CHARACTER_IN,Appears in 9-Volt Mini-game - Non-playable character
Donkey Kong,Mario Golf: Toadstool Tour,CHARACTER_IN,Playable character
Donkey Kong,Mario Kart: Double Dash!!,CHARACTER_IN,Playable character
Donkey Kong,Mario Party 5,CHARACTER_IN,Non-playable character Unlockable playable character ( Super Duel Mode only)
Donkey Kong,Donkey Konga,CHARACTER_IN,Playable character
Donkey Kong,Mario vs. Donkey Kong,CHARACTER_IN,Boss
Donkey Kong,Donkey Kong Country 2,CHARACTER_IN,Non-playable character
Donkey Kong,Donkey Konga 2,CHARACTER_IN,Playable character
Donkey Kong,"Donkey Kong, Donkey Kong Junior, Mario Bros.",CHARACTER_IN,Non-playable character
Donkey Kong,Mario Power Tennis,CHARACTER_IN,Playable character
Donkey Kong,Mario Party 6,CHARACTER_IN,Non-playable character
Donkey Kong,DK: King of Swing,CHARACTER_IN,Playable character
Donkey Kong,Yakuman DS,CHARACTER_IN,Non-playable character
Donkey Kong,Donkey Konga 3 JP,CHARACTER_IN,Playable character
Donkey Kong,Donkey Kong Jungle Beat,CHARACTER_IN,Playable character
Donkey Kong,Mario Superstar Baseball,CHARACTER_IN,Playable character
Donkey Kong,Mario Kart Arcade GP,CHARACTER_IN,Playable character
Donkey Kong,Donkey Kong Country 3,CHARACTER_IN,Non-playable character
Donkey Kong,Mario Party 7,CHARACTER_IN,Non-playable character
Donkey Kong,Mario Kart DS,CHARACTER_IN,Playable character
Donkey Kong,Tetris DS,CHARACTER_IN,Non Playable Character - Appears in Push Mode
Donkey Kong,Mario Hoops 3-on-3,CHARACTER_IN,Playable character
Donkey Kong,Mario vs. Donkey Kong 2: March of the Minis,CHARACTER_IN,Boss
Donkey Kong,Super Mario Strikers,CHARACTER_IN,Playable character
Donkey Kong,Mario Kart Arcade GP 2,CHARACTER_IN,Cameo
Donkey Kong,Mario Strikers Charged,CHARACTER_IN,Playable character
Donkey Kong,Mario Party 8,CHARACTER_IN,Non-playable character
Donkey Kong,Donkey Kong Barrel Blast,CHARACTER_IN,Playable character
Donkey Kong,DK: Jungle Climber,CHARACTER_IN,Playable character
Donkey Kong,Mario Party DS,CHARACTER_IN,Non-playable character
Donkey Kong,Super Smash Bros. Brawl,CHARACTER_IN,Playable character
Donkey Kong,Mario Kart Wii,CHARACTER_IN,Playable character
Donkey Kong,Mario Super Sluggers,CHARACTER_IN,Playable character
Donkey Kong,New Play Control! Mario Power Tennis,CHARACTER_IN,Playable character
Donkey Kong,Punch-Out!!,CHARACTER_IN,Non-playable character
Donkey Kong,Mario vs. Donkey Kong: Minis March Again!,CHARACTER_IN,Boss
Donkey Kong,Donkey Kong Country Returns,CHARACTER_IN,Playable character
Donkey Kong,Mario Sports Mix,CHARACTER_IN,Playable character
Donkey Kong,Mario vs. Donkey Kong: Mini-Land Mayhem!,CHARACTER_IN,Boss
Donkey Kong,Fortune Street,CHARACTER_IN,Playable character
Donkey Kong,Mario Kart 7,CHARACTER_IN,Playable character
Donkey Kong,Mario Party 9,CHARACTER_IN,Non-playable character
Donkey Kong,Mario Tennis Open,CHARACTER_IN,Playable character
Donkey Kong,Club Nintendo Picross,CHARACTER_IN,Cameo
Donkey Kong,NES Remix,CHARACTER_IN,Boss
Donkey Kong,Donkey Kong Country Returns 3D,CHARACTER_IN,Playable character
Donkey Kong,Mario and Donkey Kong: Minis on the Move,CHARACTER_IN,Boss
Donkey Kong,Donkey Kong Country: Tropical Freeze,CHARACTER_IN,Playable character
Donkey Kong,NES Remix 2,CHARACTER_IN,Boss
Donkey Kong,Mario Golf: World Tour,CHARACTER_IN,Playable character
Donkey Kong,Mario Kart 8,CHARACTER_IN,Playable character
Donkey Kong,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Playable character
Donkey Kong,Club Nintendo Picross+,CHARACTER_IN,Cameo
Donkey Kong,Super Smash Bros. for Wii U,CHARACTER_IN,Playable character
Donkey Kong,Mario vs. Donkey Kong: Tipping Stars,CHARACTER_IN,Boss
Donkey Kong,Mario Party 10,CHARACTER_IN,Playable character
Donkey Kong,Super Mario Maker,CHARACTER_IN,Playable character ( Costume Mario )
Donkey Kong,Skylanders: SuperChargers,CHARACTER_IN,Playable character
Donkey Kong,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Playable character
Donkey Kong,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Playable character
Donkey Kong,Mini Mario & Friends: amiibo Challenge,CHARACTER_IN,Playable character
Donkey Kong,Minecraft: Wii U Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Donkey Kong,Mario Party: Star Rush,CHARACTER_IN,Unlockable playable character
Donkey Kong,Skylanders: Imaginators,CHARACTER_IN,Playable character
Donkey Kong,Mario Sports Superstars,CHARACTER_IN,Playable character
Donkey Kong,Mario Kart 8 Deluxe,CHARACTER_IN,Playable character
Donkey Kong,Minecraft: Nintendo Switch Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Donkey Kong,Mario + Rabbids Kingdom Battle,CHARACTER_IN,Playable character (Donkey Kong Adventure DLC)
Donkey Kong,Super Mario Odyssey,CHARACTER_IN,Cameo (original Donkey Kong)
Donkey Kong,Mario Party: The Top 100,CHARACTER_IN,Non-playable character
Donkey Kong,Donkey Kong Country: Tropical Freeze,CHARACTER_IN,Playable character
Donkey Kong,Minecraft: New Nintendo 3DS Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Donkey Kong,Minecraft: Bedrock Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Donkey Kong,Mario Tennis Aces,CHARACTER_IN,Playable character
Donkey Kong,Super Mario Party,CHARACTER_IN,Unlockable playable character
Donkey Kong,Super Smash Bros. Ultimate,CHARACTER_IN,Playable character
Donkey Kong,Mario Kart Tour,CHARACTER_IN,Unlockable playable character
Donkey Kong,Dr. Mario World,CHARACTER_IN,Unlockable playable character
Donkey Kong,Mario & Sonic at the Olympic Games Tokyo 2020,CHARACTER_IN,Playable character
Donkey Kong,Clubhouse Games: 51 Worldwide Classics,CHARACTER_IN,Cameo ( playing cards )
Donkey Kong,Paper Mario: The Origami King,CHARACTER_IN,Cameo
Donkey Kong,Mario Golf: Super Rush,CHARACTER_IN,Playable character
Donkey Kong,WarioWare: Get It Together!,CHARACTER_IN,Cameo in microgame
Donkey Kong,Mario Party Superstars,CHARACTER_IN,Playable character
Donkey Kong,Mario Strikers: Battle League,CHARACTER_IN,Playable character
Donkey Kong,Mario vs. Donkey Kong,CHARACTER_IN,Boss
Donkey Kong,Nintendo World Championships: NES Edition,CHARACTER_IN,Boss
Donkey Kong,Super Mario Party Jamboree,CHARACTER_IN,Playable character
Donkey Kong,Donkey Kong Country Returns HD,CHARACTER_IN,Playable character
Donkey Kong,Mario Kart World,CHARACTER_IN,Unlockable playable character
Dr. Crygor,"WarioWare, Inc.: Mega Microgame$!",CHARACTER_IN,Microgame host
Dr. Crygor,Wario World,CHARACTER_IN,Icon cameo at Treasure Square
Dr. Crygor,"WarioWare, Inc.: Mega Party Game$!",CHARACTER_IN,"Microgame host, playable character"
Dr. Crygor,WarioWare: Twisted!,CHARACTER_IN,Microgame host
Dr. Crygor,WarioWare: Touched!,CHARACTER_IN,Microgame host
Dr. Crygor,WarioWare: Smooth Moves,CHARACTER_IN,Microgame host
Dr. Crygor,Super Smash Bros. Brawl,CHARACTER_IN,Sticker cameo
Dr. Crygor,WarioWare: D.I.Y.,CHARACTER_IN,Cameo
Dr. Crygor,Game & Wario,CHARACTER_IN,Minigame host
Dr. Crygor,Super Smash Bros. for Wii U,CHARACTER_IN,Trophy
Dr. Crygor,Nintendo Badge Arcade,CHARACTER_IN,Badge cameo
Dr. Crygor,Rhythm Heaven Megamix,CHARACTER_IN,"Wario... Where? host, playable character"
Dr. Crygor,WarioWare Gold,CHARACTER_IN,Microgame host
Dr. Crygor,Super Smash Bros. Ultimate,CHARACTER_IN,Spirit
Dr. Crygor,Tetris 99,CHARACTER_IN,Cameo
Dr. Crygor,WarioWare: Get It Together!,CHARACTER_IN,"Microgame host, unlockable playable character"
Dr. Crygor,WarioWare: Move It!,CHARACTER_IN,"Microgame host, playable character"
Dr. Eggman,Mario & Sonic at the Olympic Games,CHARACTER_IN,Playable character
Dr. Eggman,Mario & Sonic at the Olympic Winter Games,CHARACTER_IN,Boss
Dr. Eggman,Super Smash Bros. for Nintendo 3DS / Wii U,CHARACTER_IN,Cameo as a trophy
Dr. Eggman,Super Smash Bros. Ultimate,CHARACTER_IN,Cameo as a spirit
Dr. Mario,Dr. Mario,CHARACTER_IN,Playable character
Dr. Mario,The Doctor Is In... Over His Head,CHARACTER_IN,Major character
Dr. Mario,Süße Weihnachten,CHARACTER_IN,Minor appearance
Dr. Mario,Super Mario-Kun,CHARACTER_IN,Minor appearance
Dr. Mario,Super Mario Bros. & Friends: When I Grow Up,CHARACTER_IN,Minor appearance
Dr. Mario,Dr. Mario,CHARACTER_IN,Playable character
Dr. Mario,Tetris & Dr. Mario,CHARACTER_IN,Playable character
Dr. Mario,Dr. Mario BS Version,CHARACTER_IN,Playable character
Dr. Mario,Dr. Mario 64,CHARACTER_IN,Playable character
Dr. Mario,Super Smash Bros. Melee,CHARACTER_IN,Unlockable playable character
Dr. Mario,"WarioWare, Inc.: Mega Microgame$!",CHARACTER_IN,Cameo in microgame
Dr. Mario,"WarioWare, Inc.: Mega Party Game$!",CHARACTER_IN,Cameo in microgame
Dr. Mario,Classic NES Series: Dr. Mario,CHARACTER_IN,Port of original game
Dr. Mario,Dr. Mario & Puzzle League,CHARACTER_IN,Playable character
Dr. Mario,Super Smash Bros. Brawl,CHARACTER_IN,Minor appearance; sticker
Dr. Mario,Dr. Mario Online Rx,CHARACTER_IN,Playable character
Dr. Mario,Dr. Mario Express,CHARACTER_IN,Playable character
Dr. Mario,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Unlockable playable character
Dr. Mario,Super Smash Bros. for Wii U,CHARACTER_IN,Unlockable playable character
Dr. Mario,Dr. Mario: Miracle Cure,CHARACTER_IN,Playable character
Dr. Mario,Yoshi's Woolly World,CHARACTER_IN,Cameo as amiibo Yoshi design
Dr. Mario,Super Mario Maker,CHARACTER_IN,Playable cameo as Costume Mario
Dr. Mario,Minecraft: Wii U Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Dr. Mario,Poochy & Yoshi's Woolly World,CHARACTER_IN,Cameo as amiibo Yoshi design
Dr. Mario,Minecraft: Nintendo Switch Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Dr. Mario,Super Mario Odyssey,CHARACTER_IN,Playable character (costume)
Dr. Mario,Minecraft: New Nintendo 3DS Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Dr. Mario,Minecraft: Bedrock Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Dr. Mario,WarioWare Gold,CHARACTER_IN,Cameo in microgame
Dr. Mario,Super Smash Bros. Ultimate,CHARACTER_IN,Unlockable playable character
Dr. Mario,Super Mario Maker 2,CHARACTER_IN,Cameo as a Mii Maker Profile outfit
Dr. Mario,Dr. Mario World,CHARACTER_IN,Playable character as Dr. Mario and 8-Bit Dr. Mario
Dr. Mario,Mario Kart Live: Home Circuit,CHARACTER_IN,Playable character (costume)
Dr. Mario,Mario Kart Tour,CHARACTER_IN,Unlockable playable character
Dr. Mario,WarioWare: Move It!,CHARACTER_IN,Cameo in microgame
Dribble,"WarioWare, Inc.: Mega Microgame$!",CHARACTER_IN,Microgame hosts
Dribble,"WarioWare, Inc.: Mega Party Game$!",CHARACTER_IN,"Microgame hosts, playable characters"
Dribble,WarioWare: Twisted!,CHARACTER_IN,Microgame hosts
Dribble,WarioWare: Touched!,CHARACTER_IN,Supporting characters
Dribble,WarioWare: Smooth Moves,CHARACTER_IN,Microgame hosts
Dribble,Super Smash Bros. Brawl,CHARACTER_IN,Sticker cameo
Dribble,Paper Airplane Chase,CHARACTER_IN,Cameo as a background sign when reaching 60 points in Endless Mode
Dribble,WarioWare: D.I.Y. Showcase,CHARACTER_IN,Microgame hosts
Dribble,Game & Wario,CHARACTER_IN,Minigame hosts
Dribble,Nintendo Badge Arcade,CHARACTER_IN,Badge cameo
Dribble,Rhythm Heaven Megamix,CHARACTER_IN,Wario... Where? hosts
Dribble,WarioWare Gold,CHARACTER_IN,Microgame hosts
Dribble,Super Smash Bros. Ultimate,CHARACTER_IN,Spirit
Dribble,WarioWare: Get It Together!,CHARACTER_IN,"Microgame hosts, unlockable playable characters"
Dribble,Tetris 99,CHARACTER_IN,"24th Maximus Cup, cameo"
Dribble,WarioWare: Move It!,CHARACTER_IN,"Microgame hosts, playable characters"
Dry Bowser,New Super Mario Bros.,CHARACTER_IN,Boss
Dry Bowser,Mario Kart Wii,CHARACTER_IN,Unlockable playable character
Dry Bowser,Mario & Sonic at the Olympic Winter Games,CHARACTER_IN,Boss
Dry Bowser,Mario & Sonic at the Olympic Winter Games,CHARACTER_IN,Rival
Dry Bowser,Super Mario 3D Land,CHARACTER_IN,Boss
Dry Bowser,Mario & Sonic at the London 2012 Olympic Games,CHARACTER_IN,Rival
Dry Bowser,Mario & Sonic at the London 2012 Olympic Games,CHARACTER_IN,Boss
Dry Bowser,Mario Tennis Open,CHARACTER_IN,Unlockable playable character
Dry Bowser,New Super Mario Bros. 2,CHARACTER_IN,Boss
Dry Bowser,Mario & Sonic at the Sochi 2014 Olympic Winter Games,CHARACTER_IN,Rival
Dry Bowser,Mario Party: Island Tour,CHARACTER_IN,Boss
Dry Bowser,Mario Kart Arcade GP DX,CHARACTER_IN,Downloadable playable character
Dry Bowser,Mario Party 10,CHARACTER_IN,Boss
Dry Bowser,Animal Crossing × Mario Kart 8 ( Mario Kart 8 DLC ),CHARACTER_IN,Downloadable playable character
Dry Bowser,Puzzle & Dragons: Super Mario Bros. Edition,CHARACTER_IN,Boss
Dry Bowser,Mario Tennis: Ultra Smash,CHARACTER_IN,Unlockable playable character
Dry Bowser,Mario & Luigi: Paper Jam,CHARACTER_IN,Secret boss
Dry Bowser,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Unlockable playable character
Dry Bowser,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Unlockable playable character
Dry Bowser,Mario Sports Superstars,CHARACTER_IN,Mentioned
Dry Bowser,Mario Kart 8 Deluxe,CHARACTER_IN,Playable character
Dry Bowser,Super Smash Bros. Ultimate,CHARACTER_IN,Spirit
Dry Bowser,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,CHARACTER_IN,Non-playable character
Dry Bowser,Mario Tennis Aces (version 3.1.0),CHARACTER_IN,Playable character
Dry Bowser,Mario Kart Tour,CHARACTER_IN,Unlockable playable character
Dry Bowser,Dr. Mario World,CHARACTER_IN,Unlockable playable character (requires update)
Dry Bowser,Minecraft: Bedrock Edition (The Wild Update),CHARACTER_IN,Cameo in the Super Mario Mash-up (requires update)
Eggman Nega,Mario & Sonic at the Olympic Winter Games,CHARACTER_IN,Rival
Eggman Nega,Mario & Sonic at the Olympic Winter Games,CHARACTER_IN,Rival
Eggman Nega,Mario & Sonic at the London 2012 Olympic Games,CHARACTER_IN,Rival
Eggman Nega,Mario & Sonic at the London 2012 Olympic Games,CHARACTER_IN,Rival
Eggman Nega,Mario & Sonic at the Sochi 2014 Olympic Winter Games,CHARACTER_IN,Rival
Eggman Nega,Mario & Sonic at the Rio 2016 Olympic Games,CHARACTER_IN,Playable
Eggman Nega,Mario & Sonic at the Olympic Games Tokyo 2020,CHARACTER_IN,Playable
F.L.U.D.D.,Super Mario Sunshine,CHARACTER_IN,Playable / item
F.L.U.D.D.,Mario Power Tennis,CHARACTER_IN,Non-playable
F.L.U.D.D.,WarioWare: Smooth Moves,CHARACTER_IN,Cameo in microgame
F.L.U.D.D.,Super Smash Bros. Brawl,CHARACTER_IN,Mario's down special move
F.L.U.D.D.,New Play Control! Mario Power Tennis,CHARACTER_IN,Non-playable
F.L.U.D.D.,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Mario's down special move
F.L.U.D.D.,Super Smash Bros. for Wii U,CHARACTER_IN,Mario's down special move
F.L.U.D.D.,Minecraft: Wii U Edition,CHARACTER_IN,Item in the Super Mario Mash-Up Pack
F.L.U.D.D.,Minecraft: Nintendo Switch Edition,CHARACTER_IN,Item in the Super Mario Mash-Up Pack
F.L.U.D.D.,Minecraft: New Nintendo 3DS Edition,CHARACTER_IN,Item in the Super Mario Mash-Up Pack
F.L.U.D.D.,Minecraft: Bedrock Edition,CHARACTER_IN,Item in the Super Mario Mash-Up Pack
F.L.U.D.D.,WarioWare Gold,CHARACTER_IN,Cameo in microgame
F.L.U.D.D.,Super Smash Bros. Ultimate,CHARACTER_IN,Mario's down special move
F.L.U.D.D.,Super Mario 3D All-Stars,CHARACTER_IN,Playable / item
Fawful,Mario & Luigi: Superstar Saga,CHARACTER_IN,"Secondary antagonist, boss"
Fawful,Mario & Luigi: Partners in Time,CHARACTER_IN,Non-playable character
Fawful,Mario & Luigi: Bowser's Inside Story,CHARACTER_IN,"Main antagonist, final boss"
Fawful,Mario & Luigi: Superstar Saga + Bowser's Minions,CHARACTER_IN,"Secondary antagonist, boss (main game) Final boss ( Minion Quest: The Search for Bowser )"
Fawful,Super Smash Bros. Ultimate,CHARACTER_IN,Spirit
Fawful,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,CHARACTER_IN,"Main antagonist, final boss (main game) Non-playable character ( Bowser Jr.'s Journey )"
Foreman Spike,Wrecking Crew,CHARACTER_IN,Enemy
Foreman Spike,Wrecking Crew '98,CHARACTER_IN,"Challenger, unlockable playable character"
Foreman Spike,Mobile Golf,CHARACTER_IN,Unlockable playable character
Foreman Spike,NES Remix,CHARACTER_IN,Enemy on a Wrecking Crew stage
Foreman Spike,NES Remix Pack,CHARACTER_IN,Enemy on a Wrecking Crew stage
Foreman Spike,Super Mario Maker,CHARACTER_IN,Costume Mario outfit
Foreman Spike,WarioWare Gold,CHARACTER_IN,Cameo in microgame
Funky Kong,Donkey Kong Country,CHARACTER_IN,Non-playable character
Funky Kong,Donkey Kong Country 2: Diddy's Kong Quest,CHARACTER_IN,Non-playable character
Funky Kong,Donkey Kong Land 2,CHARACTER_IN,Non-playable character
Funky Kong,Donkey Kong Country 3: Dixie Kong's Double Trouble!,CHARACTER_IN,Non-playable character
Funky Kong,Donkey Kong 64,CHARACTER_IN,Non-playable character
Funky Kong,Picross NP Vol. 8,CHARACTER_IN,Cameo
Funky Kong,Donkey Kong Country,CHARACTER_IN,Non-playable character
Funky Kong,Donkey Kong Country,CHARACTER_IN,Non-playable character
Funky Kong,Donkey Kong Country 2,CHARACTER_IN,Non-playable character
Funky Kong,Donkey Konga 2,CHARACTER_IN,Non-playable character
Funky Kong,DK: King of Swing,CHARACTER_IN,Playable character in Jungle Jam mode
Funky Kong,Donkey Konga 3 JP,CHARACTER_IN,Playable character
Funky Kong,Donkey Kong Country 3,CHARACTER_IN,Non-playable character
Funky Kong,Donkey Kong Barrel Blast,CHARACTER_IN,Unlockable playable character
Funky Kong,DK: Jungle Climber,CHARACTER_IN,Playable in VS mode
Funky Kong,Super Smash Bros. Brawl,CHARACTER_IN,Cameo as a trophy and sticker
Funky Kong,Mario Kart Wii,CHARACTER_IN,Unlockable playable character
Funky Kong,Mario Super Sluggers,CHARACTER_IN,Unlockable playable character
Funky Kong,Donkey Kong Country: Tropical Freeze,CHARACTER_IN,Non-playable character
Funky Kong,Super Smash Bros. for Nintendo 3DS / Wii U,CHARACTER_IN,Cameo as a trophy
Funky Kong,Donkey Kong Country: Tropical Freeze,CHARACTER_IN,Playable character
Funky Kong,Super Smash Bros. Ultimate,CHARACTER_IN,Cameo as a spirit
Funky Kong,Mario Kart Tour,CHARACTER_IN,Playable character (requires update)
Funky Kong,Mario Kart 8 Deluxe (version 3.0.0),CHARACTER_IN,Downloadable playable character
Geno,Super Mario RPG: Legend of the Seven Stars,CHARACTER_IN,Playable character after being found in Forest Maze
Geno,Mario & Luigi: Superstar Saga,CHARACTER_IN,Cameo
Geno,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Downloadable Mii Fighter costume
Geno,Super Smash Bros. for Wii U,CHARACTER_IN,Downloadable Mii Fighter costume
Geno,Super Smash Bros. Ultimate,CHARACTER_IN,Spirit
Geno,Tetris 99,CHARACTER_IN,Cameo
Geno,Super Mario RPG,CHARACTER_IN,Playable character after being found in Forest Maze
Gooigi,Luigi's Mansion,CHARACTER_IN,Playable character
Gooigi,Super Smash Bros. Ultimate,CHARACTER_IN,Cameo
Gooigi,Tetris 99,CHARACTER_IN,Cameo
Gooigi,Luigi's Mansion 3,CHARACTER_IN,Playable character
Gooper Blooper,Super Mario Sunshine,CHARACTER_IN,Boss
Gooper Blooper,Mario Golf: Toadstool Tour,CHARACTER_IN,Name appears on score board
Gooper Blooper,Mario Golf: Advance Tour,CHARACTER_IN,Name appears on score board
Gooper Blooper,Mario Power Tennis,CHARACTER_IN,Non-playable character
Gooper Blooper,Super Princess Peach,CHARACTER_IN,Boss
Gooper Blooper,Mario Hoops 3-on-3,CHARACTER_IN,Non-playable character
Gooper Blooper,Mario Super Sluggers,CHARACTER_IN,Non-playable character
Gooper Blooper,New Play Control! Mario Power Tennis,CHARACTER_IN,Non-playable character
Gooper Blooper,Mario & Sonic at the London 2012 Olympic Games,CHARACTER_IN,Boss
Gooper Blooper,Paper Mario: Sticker Star,CHARACTER_IN,Boss
Gooper Blooper,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Trophy (cameo)
Gooper Blooper,Mario Tennis Aces,CHARACTER_IN,Boss
Gooper Blooper,Paper Mario: The Origami King,CHARACTER_IN,Boss (as Paper Macho Gooper Blooper )
Gooper Blooper,Super Mario 3D All-Stars,CHARACTER_IN,Boss
Hint Toad,Super Mario Galaxy,CHARACTER_IN,Non-playable character
Hint Toad,Super Mario Galaxy 2,CHARACTER_IN,Non-playable character
Hint Toad,Captain Toad: Treasure Tracker,CHARACTER_IN,Non-playable character
Hint Toad,Super Smash Bros. for Wii U,CHARACTER_IN,Trophy
Hint Toad,Super Mario Odyssey,CHARACTER_IN,Non-playable character
Hint Toad,Captain Toad: Treasure Tracker,CHARACTER_IN,Non-playable character
Hint Toad,Super Smash Bros. Ultimate,CHARACTER_IN,Cameo as a spirit
Hint Toad,Super Mario 3D World + Bowser's Fury,CHARACTER_IN,Playable character
Honey Queen,Super Mario Galaxy,CHARACTER_IN,Non-playable character
Honey Queen,Super Mario Galaxy 2,CHARACTER_IN,Non-playable character
Honey Queen,Mario Kart 7,CHARACTER_IN,Unlockable playable character
Honey Queen,Super Smash Bros. Ultimate,CHARACTER_IN,Spirit
Honey Queen,Dr. Mario World,CHARACTER_IN,Assistant
Honey Queen,Super Mario 3D All-Stars,CHARACTER_IN,Non-playable character
Il Piantissimo,Super Mario Sunshine,CHARACTER_IN,Non-playable character
Il Piantissimo,Mario Golf: Toadstool Tour,CHARACTER_IN,Name on scoreboard
Il Piantissimo,Mario Golf: Advance Tour,CHARACTER_IN,Name on scoreboard
Il Piantissimo,Super Mario 3D All-Stars,CHARACTER_IN,Non-playable character
Iggy Koopa,Super Mario Bros. 3,CHARACTER_IN,Boss
Iggy Koopa,Super Mario World,CHARACTER_IN,Boss
Iggy Koopa,Mario is Missing!,CHARACTER_IN,Boss
Iggy Koopa,Super Mario All-Stars,CHARACTER_IN,Boss
Iggy Koopa,Yoshi's Safari,CHARACTER_IN,Boss
Iggy Koopa,Hotel Mario,CHARACTER_IN,Boss
Iggy Koopa,Super Mario All-Stars + Super Mario World,CHARACTER_IN,Boss
Iggy Koopa,Super Mario World: Super Mario Advance 2,CHARACTER_IN,Boss
Iggy Koopa,Super Mario Sunshine,CHARACTER_IN,Cameo
Iggy Koopa,Super Mario Advance 4: Super Mario Bros. 3,CHARACTER_IN,Boss
Iggy Koopa,Mario & Luigi: Superstar Saga,CHARACTER_IN,Boss
Iggy Koopa,New Super Mario Bros. Wii,CHARACTER_IN,Boss
Iggy Koopa,Super Mario All-Stars Limited Edition,CHARACTER_IN,Boss
Iggy Koopa,New Super Mario Bros. 2,CHARACTER_IN,Boss
Iggy Koopa,New Super Mario Bros. U,CHARACTER_IN,Boss
Iggy Koopa,New Super Luigi U,CHARACTER_IN,Boss
Iggy Koopa,Mario Kart 8,CHARACTER_IN,Unlockable playable character
Iggy Koopa,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Unlockable playable character (palette swap)
Iggy Koopa,Super Smash Bros. for Wii U,CHARACTER_IN,Playable character (palette swap)
Iggy Koopa,Nintendo Badge Arcade,CHARACTER_IN,Cameo as Badge
Iggy Koopa,Puzzle & Dragons: Super Mario Bros. Edition,CHARACTER_IN,Boss (playable afterwards)
Iggy Koopa,Mario & Luigi: Paper Jam,CHARACTER_IN,Boss
Iggy Koopa,Minecraft: Wii U Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Iggy Koopa,Paper Mario: Color Splash,CHARACTER_IN,Boss
Iggy Koopa,Mario Kart 8 Deluxe,CHARACTER_IN,Playable character
Iggy Koopa,Minecraft: Nintendo Switch Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Iggy Koopa,Mario & Luigi: Superstar Saga + Bowser's Minions,CHARACTER_IN,Ally and Boss
Iggy Koopa,Minecraft: New Nintendo 3DS Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Iggy Koopa,Minecraft: Bedrock Edition,CHARACTER_IN,Playable skin in the Super Mario Mash-Up Pack
Iggy Koopa,Super Smash Bros. Ultimate,CHARACTER_IN,Unlockable playable character (palette swap)
Iggy Koopa,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,CHARACTER_IN,Ally and enemy
Iggy Koopa,New Super Mario Bros. U Deluxe,CHARACTER_IN,Boss
Iggy Koopa,Mario Kart Tour,CHARACTER_IN,Unlockable playable character (update)
Iggy Koopa,Super Mario Maker 2 (version 3.0.0),CHARACTER_IN,Enemy
Iggy Koopa,Mario Kart Live: Home Circuit,CHARACTER_IN,Non-playable character
Iggy Koopa,Dr. Mario World,CHARACTER_IN,Unlockable playable character (update)
Iggy Koopa,Nintendo World Championships: NES Edition,CHARACTER_IN,Boss
Isabelle,Mario Kart 8,CHARACTER_IN,Playable character
Isabelle,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Assist Trophy
Isabelle,Super Smash Bros. for Wii U,CHARACTER_IN,Assist Trophy
Isabelle,Super Mario Maker,CHARACTER_IN,Playable costume
Isabelle,Mario Kart 8 Deluxe,CHARACTER_IN,Playable character
Isabelle,Super Smash Bros. Ultimate,CHARACTER_IN,Playable character
Jimmy T,"WarioWare, Inc.: Mega Microgame$!",CHARACTER_IN,Microgame host
Jimmy T,"WarioWare, Inc.: Mega Party Game$!",CHARACTER_IN,"Microgame host, playable character"
Jimmy T,WarioWare: Twisted!,CHARACTER_IN,Microgame host
Jimmy T,WarioWare: Touched!,CHARACTER_IN,Microgame host
Jimmy T,WarioWare: Smooth Moves,CHARACTER_IN,Microgame host
Jimmy T,Super Smash Bros. Brawl,CHARACTER_IN,Sticker cameo
Jimmy T,WarioWare: Snapped!,CHARACTER_IN,Microgame host
Jimmy T,Paper Airplane Chase,CHARACTER_IN,Cameo as a background sign when reaching 30 points in Endless Mode
Jimmy T,WarioWare: D.I.Y.,CHARACTER_IN,Microgame host
