Title,Year,Console
Diddy Kong Racing DS,2007,Nintendo DS
WarioWare: D.I.Y. Showcase,2009,WiiWare
Mario & Sonic at the Rio 2016 Olympic Games,2016,"Nintendo 3DS, Wii U"
Mario Kart Tour,2019,Mobile
Dr. Mario World,2019,Mobile
Clubhouse Games: 51 Worldwide Classics,2020,Nintendo Switch
Mario Strikers: Battle League (version 1.2.0),2022,Nintendo Switch
Donkey Kong Jr.,1982,Arcade
Donkey Kong Jr.,1982,Game & Watch
Donkey Kong II,1983,Game & Watch
Donkey Kong Jr.,1983,Game & Watch
Donkey Kong Jr. + Jr. Sansū Lesson,1983,Family Computer
Donkey Kong Jr. Math,1983,Family Computer/ NES
Punch-Out!!,1984,Arcade
Super Punch-Out!!,1984,Arcade
Donkey Kong Classics,1988,Nintendo Entertainment System
Super Mario Kart,1992,Super Famicom / SNES
Super Mario All-Stars,1993,Super Famicom / SNES
Donkey Kong,1994,Game Boy
Mario's Time Machine,1994,Nintendo Entertainment System
Super Mario All-Stars + Super Mario World,1994,Super Nintendo Entertainment System
Mario's Tennis,1995,Virtual Boy
Game & Watch Gallery,1997,Game Boy
Game & Watch Gallery 2,1997,Game Boy
Game & Watch Gallery 3,1999,Game Boy Color
Doubutsu no Mori,2001,Nintendo 64
Animal Crossing,2001,Nintendo GameCube
Game & Watch Gallery 4,2002,Game Boy Advance
"Donkey Kong, Donkey Kong Junior, Mario Bros.",2004,Arcade
Tetris DS,2006,Nintendo DS
NES Remix,2013,Wii U
NES Remix Pack,2014,Wii U
Mario & Sonic at the Olympic Winter Games,2009,Nintendo DS
Dr. Mario,1990,NES Game Boy Nintendo Vs. System Nintendo PlayChoice-10
The Doctor Is In... Over His Head,1990,Nintendo Comics System
Süße Weihnachten,1991,Club Nintendo
Super Mario-Kun,1991,Manga
Dr. Mario,1992,Gamewatch Boy
Tetris & Dr. Mario,1994,SNES
Dr. Mario BS Version,1997,Satellaview
Dr. Mario 64,2001,Nintendo 64
Classic NES Series: Dr. Mario,2004,Game Boy Advance
Dr. Mario & Puzzle League,2005,Game Boy Advance
Dr. Mario Online Rx,2008,Wii ( WiiWare )
Dr. Mario Express,2008,Nintendo DSi ( DSiWare )
Dr. Mario: Miracle Cure,2015,Nintendo 3DS
Yoshi's Woolly World,2015,Wii U
Poochy & Yoshi's Woolly World,2017,Nintendo 3DS
Donkey Kong,1981,"Arcade, Nintendo Entertainment System"
Crazy Kong,1981,Arcade
Crazy Kong Part II,1981,Arcade
Donkey Kong,1982,Game & Watch
Donkey Kong,1982,Coleco tabletop arcade game
Donkey Kong Jr.,1982,"Arcade, Nintendo Entertainment System"
Donkey Kong 3,1983,"Arcade, Nintendo Entertainment System"
Donkey Kong Jr. Math,1983,Nintendo Entertainment System
Donkey Kong 3: Dai Gyakushū,1984,"NEC PC-88, NEC PC-6601, Sharp X1"
Donkey Kong 3,1984,Game & Watch
Donkey Kong Circus,1984,Game & Watch
Donkey Kong Hockey,1984,Game & Watch
Tetris,1989,Nintendo Entertainment System
F-1 Race,1990,Game Boy
NES Open Tournament Golf,1991,Nintendo Entertainment System
Mario is Missing! CD-ROM Deluxe,1994,MS-DOS
Donkey Kong,1994,Nelsonic Game Watch
Super Smash Bros.,1999,Nintendo 64
Picross NP Vol. 8,2000,Super Nintendo Entertainment System
"WarioWare, Inc.: Mega Microgames!",2003,Game Boy Advance
Mario vs. Donkey Kong,2004,Game Boy Advance
Donkey Kong Jungle Beat,2005,Nintendo GameCube
Mario vs. Donkey Kong 2: March of the Minis,2006,Nintendo DS
Punch-Out!!,2009,Wii
Mario vs. Donkey Kong: Minis March Again!,2009,Nintendo DSi
Mario vs. Donkey Kong: Mini-Land Mayhem!,2010,Nintendo DS
Club Nintendo Picross,2012,Nintendo 3DS
Mario and Donkey Kong: Minis on the Move,2013,Nintendo 3DS
Club Nintendo Picross+,2014,Nintendo 3DS
Mario vs. Donkey Kong: Tipping Stars,2015,"Wii U, Nintendo 3DS"
Mini Mario & Friends: amiibo Challenge,2016,Wii U
Mario vs. Donkey Kong,2024,Nintendo Switch
WarioWare: D.I.Y. Showcase,2009,Nintendo DS
Minecraft: Bedrock Edition (The Wild Update),2022,Nintendo Switch
Mario & Sonic at the Olympic Winter Games,2009,Wii
Mario & Sonic at the Sochi 2014 Olympic Winter Games,2014,Wii U
Wrecking Crew,1985,Family Computer / Nintendo Entertainment System
Mobile Golf,2001,"Game Boy Color, Mobile Adapter GB"
Super Smash Bros. for Nintendo 3DS / Wii U,2014,Nintendo 3DS / Wii U
Super Mario RPG: Legend of the Seven Stars,1996,Super Nintendo Entertainment System
Super Smash Bros. for Nintendo 3DS,2015,Nintendo 3DS
Super Smash Bros. for Wii U,2015,Wii U
Luigi's Mansion,2018,Nintendo 3DS
Luigi's Mansion 3,2019,Nintendo Switch
Super Smash Bros. for Nintendo 3DS,2014,Wii U
Super Smash Bros. for Wii U,2014,Nintendo 3DS
WarioWare: Snapped!,2008,DSiWare
Donkey Kong GB: Dinky Kong & Dixie Kong (port),2000,Game Boy Color
Luigi's Mansion,2001,Nintendo GameCube
Luigi's Mansion: Dark Moon,2013,Nintendo 3DS
Luigi's Mansion Arcade,2015,Arcade
Mario Kart Arcade GP DX,2017,Arcade
Tetris 99,2019,Nintendo Switch
Mario Kart Live: Home Circuit (version 2.0.0),2021,Nintendo Switch
Luigi's Mansion 2 HD,2024,Nintendo Switch
Super Mario Run (version 3.2.0),2024,"iOS, Android"
Mario & Sonic at the Olympic Winter Games,2009,"Nintendo DS, Wii"
Mario & Sonic at the Rio 2016 Olympic Games,2016,"Nintendo 3DS, Wii U, Arcade"
Super Mario Bros. & Friends: When I Grow Up,1992,MS-DOS
Donkey Kong Country 2 (GBA remake),2004,Game Boy Advance
Mario Kart 8 ( The Legend of Zelda × Mario Kart 8 ),2014,Wii U
Super Mario Maker 2 (version 2.0),2019,Nintendo Switch
Mario Bros.,1983,Game & Watch
Mario Bros.,1983,"Arcade, NES"
Mario Bros. Special,1984,NEC PC-88
Punch Ball Mario Bros.,1984,NEC PC-88
Family BASIC,1984,
VS. Wrecking Crew,1984,Arcade
Wrecking Crew,1985,NES
Super Mario Bros.: The Lost Levels,1986,NES (Disk System)
I am a teacher: Super Mario Sweater,1986,NES (Disk System)
All Night Nippon: Super Mario Bros.,1986,NES (Disk System)
Golf: Japan Course,1987,NES (Disk System)
Famicom Grand Prix II: 3D Hot Rally,1988,NES (Disk System)
Mario Bros. Returns,1988,NES (Disk System)
Tetris,1989,"Game Boy, NES"
Luigi's Hammer Toss,1990,Super Mario Bros. Watch
Yoshi,1991,"NES, Game Boy"
Super Mario Bros. Print World,1991,MS-DOS
Super Mario Bros. (pinball),1992,Arcade
Super Mario Kart,1992,SNES
Super Mario World,1993,Arcade
Mario & Wario,1993,SNES
Mario's Early Years! Fun with Numbers,1994,"MS-DOS, SNES"
Mario's Early Years! Preschool Fun,1994,"MS-DOS, SNES"
Hotel Mario,1994,CD-i
Mario Bowl,1995,Arcade
Excitebike: Bun Bun Mario Battle,1997,Satellaview
Wrecking Crew '98 ',1998,SNES
Super Mario Bros. Deluxe,1999,GBC
Game & Watch Gallery 3,1999,GBC
Mario Golf,1999,GBC
Mario Tennis,2000,GBC
Super Mario Advance,2001,GBA
Mario Kart: Super Circuit,2001,GBA
Mario Family,2001,GBC
Luigi's Mansion,2001,GameCube
Super Smash Bros. Melee,2001,GameCube
Super Mario World: Super Mario Advance 2,2001,GBA
Yoshi's Island: Super Mario Advance 3,2002,GBA
Mario Party 4,2002,GameCube
Game & Watch Gallery 4,2002,GBA
Mario Bros.-e,2002,E-Reader
Mario Party-e,2003,E-Reader
Super Mario Advance 4: Super Mario Bros. 3,2003,GBA
Mario Golf: Toadstool Tour,2003,GameCube
Mario Kart: Double Dash!!,2003,GameCube
Mario Party 5,2003,GameCube
Mario & Luigi: Superstar Saga,2003,GBA
Classic NES Series: Super Mario Bros.,2004,GBA
Mario Golf: Advance Tour,2004,GBA
Famicom Mini: Wrecking Crew,2004,GBA
Donkey Konga 2,2004,GameCube
Paper Mario: The Thousand-Year Door,2004,GameCube
Famicom Mini: Super Mario Bros. 2,2004,GBA
WarioWare: Twisted!,2004,GBA
Mario Party 6,2004,GameCube
Mario Party Advance,2005,GBA
NBA Street V3,2005,GameCube
Dance Dance Revolution: Mario Mix,2005,GameCube
Mario Superstar Baseball,2005,GameCube
Mario Tennis: Power Tour,2005,GBA
SSX on Tour,2005,GameCube
Mario Party 7,2005,GameCube
Mario Calculator,2009,Nintendo DSi
Mario Clock,2009,Nintendo DSi
New Super Mario Bros. Wii Coin World,2011,Arcade
Mario Party Fushigi no Korokoro Catcher 2,2013,Arcade
Dr. Luigi,2013,Wii U ( Nintendo eShop )
Ultimate NES Remix,2014,Wii U
