Boss,Game,Relation
Blooper,Mario Party 8,BOSS_IN
Blooper,Super Mario 3D Land,BOSS_IN
Blooper,Mario Party DS,BOSS_IN
Blooper,New Super Mario Bros. 2,BOSS_IN
Blooper,Mario Party 9,BOSS_IN
Blooper,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN
Blooper,Mario Party: Island Tour,BOSS_IN
Blooper,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN
Blooper,Mario Party 10,BOSS_IN
Blooper,Super Mario Maker subseries,BOSS_IN
Blooper,Mario Party: Star Rush,BOSS_IN
Blooper,Super Mario Run,BOSS_IN
Blooper,Mario Party: The Top 100,BOSS_IN
Blooper,Super Mario Odyssey,BOSS_IN
Blooper,Super Mario Party,BOSS_IN
Blooper,Mario Party Superstars,BOSS_IN
Blooper,Super Mario Party Jamboree,BOSS_IN
Boomerang Bro,Super Mario Bros. 3,BOSS_IN
Boomerang Bro,Mario Kart 8,BOSS_IN
Boomerang Bro,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN
Boomerang Bro,New Super Mario Bros.,BOSS_IN
Boomerang Bro,Mario Kart Tour,BOSS_IN
Boomerang Bro,Mario & Luigi: Dream Team,BOSS_IN
Boomerang Bro,New Super Mario Bros. Wii,BOSS_IN
Boomerang Bro,Mario & Luigi: Paper Jam,BOSS_IN
Boomerang Bro,Super Mario Galaxy 2,BOSS_IN
Boomerang Bro,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN
Boomerang Bro,Super Mario 3D Land,BOSS_IN
Boomerang Bro,New Super Mario Bros. 2,BOSS_IN
Boomerang Bro,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN
Boomerang Bro,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN
Boss Sumo Bro,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN
Bowser Statue,Super Mario Bros. 3,BOSS_IN
Bowser Statue,Mario Kart 64,BOSS_IN
Bowser Statue,Mario & Luigi: Bowser's Inside Story,BOSS_IN
Bowser Statue,Super Mario World,BOSS_IN
Bowser Statue,Mario Kart: Double Dash!!,BOSS_IN
Bowser Statue,Mario & Luigi: Dream Team,BOSS_IN
Bowser Statue,New Super Mario Bros.,BOSS_IN
Bowser Statue,Mario Kart Wii,BOSS_IN
Bowser Statue,Super Mario Galaxy,BOSS_IN
Bowser Statue,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN
Bowser Statue,Super Mario Galaxy 2,BOSS_IN
Bowser Statue,New Super Mario Bros. 2,BOSS_IN
Bowser Statue,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN
Bowser Statue,Super Mario Maker / Super Mario Maker for Nintendo 3DS,BOSS_IN
Bowser Statue,Super Mario Odyssey,BOSS_IN
Bowser Statue,Super Mario Maker 2,BOSS_IN
Bowser Statue,Super Mario Bros. Wonder,BOSS_IN
Bowser Jr.,Super Mario Sunshine,BOSS_IN
Bowser Jr.,Mario Kart: Double Dash!!,BOSS_IN
Bowser Jr.,Mario Party DS,BOSS_IN
Bowser Jr.,Mario & Luigi: Dream Team,BOSS_IN
Bowser Jr.,Super Smash Bros. Brawl,BOSS_IN
Bowser Jr.,New Super Mario Bros.,BOSS_IN
Bowser Jr.,Mario Kart Arcade GP/Mario Kart Arcade GP 2,BOSS_IN
Bowser Jr.,Mario Party 9,BOSS_IN
Bowser Jr.,Mario & Luigi: Paper Jam,BOSS_IN
Bowser Jr.,Super Smash Bros. for Nintendo 3DS / Super Smash Bros. for Wii U,BOSS_IN
Bowser Jr.,Super Mario Galaxy,BOSS_IN
Bowser Jr.,Mario Kart Wii,BOSS_IN
Bowser Jr.,Mario Party: Island Tour,BOSS_IN
Bowser Jr.,Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN
Bowser Jr.,Super Smash Bros. Ultimate,BOSS_IN
Bowser Jr.,New Super Mario Bros. Wii,BOSS_IN
Bowser Jr.,Mario Kart Arcade GP DX,BOSS_IN
Bowser Jr.,Mario Party 10,BOSS_IN
Bowser Jr.,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN
Bowser Jr.,Super Mario Galaxy 2,BOSS_IN
Bowser Jr.,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN
Bowser Jr.,Mario Party: Star Rush,BOSS_IN
Bowser Jr.,Mario & Luigi: Brothership,BOSS_IN
Bowser Jr.,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN
Bowser Jr.,Mario Kart Tour,BOSS_IN
Bowser Jr.,Mario Party: The Top 100,BOSS_IN
Bowser Jr.,Super Mario Maker / Super Mario Maker for Nintendo 3DS,BOSS_IN
Bowser Jr.,Mario Kart Live: Home Circuit,BOSS_IN
Bowser Jr.,Super Mario Party,BOSS_IN
Bowser Jr.,Super Mario Maker 2,BOSS_IN
Bowser Jr.,Mario Kart World,BOSS_IN
Bowser Jr.,Mario Party Superstars,BOSS_IN
Bowser Jr.,Super Mario 3D World + Bowser's Fury,BOSS_IN
Bowser Jr.,Super Mario Party Jamboree / Super Mario Party Jamboree – Nintendo Switch 2 Edition + Jamboree TV,BOSS_IN
Bowser Jr.,Super Mario Bros. Wonder,BOSS_IN
Bowser's Castle,Super Mario Bros. / Super Mario Bros.: The Lost Levels,BOSS_IN
Bowser's Castle,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN
Bowser's Castle,Super Mario Bros. 3,BOSS_IN
Bowser's Castle,Mario & Luigi: Partners in Time,BOSS_IN
Bowser's Castle,Super Mario World,BOSS_IN
Bowser's Castle,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN
Bowser's Castle,New Super Mario Bros.,BOSS_IN
Bowser's Castle,Mario & Luigi: Dream Team,BOSS_IN
Bowser's Castle,New Super Mario Bros. Wii,BOSS_IN
Bowser's Castle,Mario & Luigi: Paper Jam,BOSS_IN
Bowser's Castle,Super Mario Galaxy 2,BOSS_IN
Bowser's Castle,Mario & Luigi: Brothership,BOSS_IN
Bowser's Castle,Super Mario 3D Land,BOSS_IN
Bowser's Castle,New Super Mario Bros. 2,BOSS_IN
Bowser's Castle,New Super Mario Bros. U,BOSS_IN
Bowser's Castle,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN
Bowser's Castle,Super Mario Maker / Super Mario Maker for Nintendo 3DS,BOSS_IN
Bowser's Castle,Super Mario Run,BOSS_IN
Bowser's Castle,Super Mario Odyssey,BOSS_IN
Bowser's Castle,Super Mario Maker 2,BOSS_IN
Bowser's Castle,Super Mario Bros. Wonder,BOSS_IN
Cackletta,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN
Cackletta,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN
Chargin' Chuck,Super Mario World / Super Mario World: Super Mario Advance 2,BOSS_IN
Chargin' Chuck,Mario Kart Tour,BOSS_IN
Chargin' Chuck,Super Mario Party,BOSS_IN
Chargin' Chuck,Mario & Luigi: Paper Jam,BOSS_IN
Chargin' Chuck,Super Mario Advance 4: Super Mario Bros. 3,BOSS_IN
Chargin' Chuck,Mario Kart World,BOSS_IN
Chargin' Chuck,Super Mario Party Jamboree,BOSS_IN
Chargin' Chuck,Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN
Chargin' Chuck,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN
Chargin' Chuck,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN
Chargin' Chuck,Super Mario Odyssey,BOSS_IN
Chain Chomp,Super Mario Bros. 3 / Super Mario Advance 4: Super Mario Bros. 3,BOSS_IN
Chain Chomp,Mario Kart 64,BOSS_IN
Chain Chomp,Mario Party 2,BOSS_IN
Chain Chomp,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN
Chain Chomp,Super Mario 64 / Super Mario 64 DS,BOSS_IN
Chain Chomp,Mario Kart: Double Dash!!,BOSS_IN
Chain Chomp,Mario Party 3,BOSS_IN
Chain Chomp,Mario & Luigi: Partners in Time,BOSS_IN
Chain Chomp,Super Mario Sunshine,BOSS_IN
